City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kodiak,57.79,-152.4072,11.73,87,100,2.57,US,1726347099
1,anadyr,64.75,177.4833,7.28,93,75,5.0,RU,1726347101
2,cabo san lucas,22.8909,-109.9124,29.86,88,29,4.47,MX,1726347103
3,sitka,57.0531,-135.33,13.94,77,40,0.0,US,1726347104
4,laminusa,5.5549,120.9136,28.26,78,96,7.71,PH,1726347105
5,iqaluit,63.7506,-68.5145,10.85,62,40,7.72,CA,1726347107
6,atafu village,-8.5421,-172.5159,28.64,74,98,6.7,TK,1726347108
7,lihue,21.9789,-159.3672,28.77,67,0,6.69,US,1726347109
8,port-aux-francais,-49.35,70.2167,3.1,93,100,14.58,TF,1726347111
9,la passe,45.5549,-0.8967,14.36,58,100,4.79,FR,1726347112
10,nogliki,51.8333,143.1667,7.56,92,23,3.43,RU,1726347114
11,katsuren-haebaru,26.3369,127.8719,29.21,87,20,6.69,JP,1726347115
12,margaret river,-33.95,115.0667,11.0,83,0,5.79,AU,1726347117
13,blackmans bay,-43.0167,147.3167,5.07,81,61,3.25,AU,1726347118
14,vorgashor,67.5833,63.95,12.26,94,7,4.39,RU,1726347119
15,visby,57.6409,18.296,15.12,67,0,6.69,SE,1726347121
16,dzuunmod,48.2199,97.3744,1.44,64,47,3.99,MN,1726347122
17,edinburgh of the seven seas,-37.0676,-12.3116,12.02,68,86,1.74,SH,1726347123
18,luderitz,-26.6481,15.1594,13.08,71,0,5.98,NA,1726347126
19,waitangi,-43.9535,-176.5597,8.79,96,100,5.81,NZ,1726347128
20,lamu,-2.2717,40.902,24.34,82,95,6.42,KE,1726347129
21,dudinka,69.4058,86.1778,-1.56,86,19,3.75,RU,1726347130
22,uturoa,-16.7333,-151.4333,25.8,82,0,4.18,PF,1726347132
23,zvoristea,47.8333,26.2833,15.83,99,40,3.6,RO,1726347133
24,ancud,-41.8697,-73.8203,9.14,83,100,5.75,CL,1726347134
25,ola,59.5833,151.2833,7.71,76,99,1.86,RU,1726347135
26,olonkinbyen,70.9221,-8.7187,1.72,67,38,3.1,SJ,1726347137
27,albany,42.6001,-73.9662,28.8,56,0,0.08,US,1726346876
28,jamestown,42.097,-79.2353,27.79,42,0,2.68,US,1726346878
29,stanley,54.868,-1.6985,14.04,78,40,5.66,GB,1726347141
30,longyearbyen,78.2186,15.6401,7.91,76,75,4.12,SJ,1726347142
